"Time","{pod=""adservice-5f85fdddc7-fj6t4""}"
1781246700000,
1781246715000,
1781246730000,
1781246745000,
1781246760000,
1781246775000,
1781246790000,
1781246805000,
1781246820000,
1781246835000,
1781246850000,
1781246865000,
1781246880000,
1781246895000,
1781246910000,
1781246925000,
1781246940000,
1781246955000,
1781246970000,
1781246985000,
1781247000000,
1781247015000,
1781247030000,
1781247045000,
1781247060000,
1781247075000,
1781247090000,
1781247105000,
1781247120000,
1781247135000,
1781247150000,
1781247165000,
1781247180000,
1781247195000,
1781247210000,
1781247225000,
1781247240000,
1781247255000,
1781247270000,
1781247285000,
1781247300000,
1781247315000,
1781247330000,
1781247345000,
1781247360000,
1781247375000,
1781247390000,
1781247405000,
1781247420000,
1781247435000,
1781247450000,
1781247465000,
1781247480000,
1781247495000,
1781247510000,
1781247525000,
1781247540000,
1781247555000,
1781247570000,
1781247585000,
1781247600000,
1781247615000,
1781247630000,
1781247645000,
1781247660000,
1781247675000,
1781247690000,
1781247705000,
1781247720000,
1781247735000,
1781247750000,
1781247765000,
1781247780000,
1781247795000,
1781247810000,
1781247825000,
1781247840000,
1781247855000,
1781247870000,
1781247885000,0.00010453407071783542
1781247900000,0.005323332546317117
1781247915000,0.005520079761999241
1781247930000,0.0071320821079074994
1781247945000,0.0020242005615325387
1781247960000,0.0007716764073054692
1781247975000,0.0011928806936133787
1781247990000,0.001078251891269387
1781248005000,0.0007447921861818264
1781248020000,0.0018276831196205865
1781248035000,0.002030563574745821
1781248050000,0.0010429750000000015
1781248065000,0.0012349092006260797
1781248080000,0.0007276428986927201
1781248095000,0.0007622699310337716
1781248110000,0.0011082439678284104
1781248125000,0.0007575066326530607
1781248140000,0.0015825964425020998
1781248155000,0.0019885132587658663
1781248170000,0.0012310288575125168
1781248185000,0.0010611576332014354
1781248200000,0.0010306612649708942
1781248215000,0.0010913114088509897
1781248230000,0.001308048164309846
1781248245000,0.0015042972186506043
1781248260000,0.001505806582483897
1781248275000,0.0008333683340129747
1781248290000,0.002507859027956183
1781248305000,0.0027337756629359057
1781248320000,0.0023048799623411275
1781248335000,0.001165475142982843
1781248350000,0.0010695932733672325
1781248365000,0.0013720734219891406
1781248380000,0.002053885529251113
1781248395000,0.002206118745138708
1781248410000,0.001457721784676365
1781248425000,0.0015916269849820123
1781248440000,0.0010273345090111344
1781248455000,0.001307373013881116
1781248470000,0.0014363526103974874
1781248485000,0.0013940529459739476
1781248500000,0.0011748844767176135
1781248515000,0.0014555127391317976
1781248530000,0.001323453500622496
1781248545000,0.001544920357420362
1781248560000,0.0012133819384100193
1781248575000,0.0008169172088849013
1781248590000,0.0008553926297511053
1781248605000,0.0010548043153666591
1781248620000,0.0011037431735436874
1781248635000,0.0030430096716465927
1781248650000,0.006200578392894031
1781248665000,0.00892049407464183
1781248680000,0.00741593751074016
1781248695000,0.008882530650554348
1781248710000,0.005428777823529395
1781248725000,0.008037339570005466
1781248740000,0.008631850483799728
1781248755000,0.006457262208330923
1781248770000,0.0034852639919993713
1781248785000,0.0032384776807689395
1781248800000,0.0032494520267483703
1781248815000,0.007189516354487005
1781248830000,0.006425314327056574
1781248845000,0.006177868730148582
1781248860000,0.005133085242470043
1781248875000,0.006466459021951008
1781248890000,0.006559813588815325
1781248905000,0.006038654648841573
1781248920000,0.004121084043072874
1781248935000,0.00375262373569232
1781248950000,0.004804581440269878
1781248965000,0.004789978427561449
1781248980000,0.005016918123062278
1781248995000,0.005286263477030073
1781249010000,0.005167988683772314
1781249025000,0.0035326553381393746
1781249040000,0.006297355555555563
1781249055000,0.005843700000000007
1781249070000,0.007283636071371154
1781249085000,0.0027982280397132703
1781249100000,0.0024992835398084095
1781249115000,0.0029829295278524207
1781249130000,0.003056061006455523
1781249145000,0.0035190032824789913
1781249160000,0.003834420777908737
1781249175000,0.004017368321691517
1781249190000,0.003989243478990179
1781249205000,0.003670098206499076
1781249220000,0.0035384108298999336
1781249235000,0.003100020890879968
1781249250000,0.0036426689730581574
1781249265000,0.003933973485585764
1781249280000,0.0034873057704487907
1781249295000,0.004079543094496366
1781249310000,0.005692802088207049
1781249325000,0.011707832784767344
1781249340000,0.019343472606999493
1781249355000,0.021649405279953574
1781249370000,0.015529742575694375
1781249385000,0.006787671486095837
1781249400000,0.005625053830326801
1781249415000,0.004990894180193402
1781249430000,0.002200550000000012
1781249445000,0.003396257023027641
1781249460000,0.004473806628958075
1781249475000,0.0049324432454676366
1781249490000,0.003898552731805263
1781249505000,0.0030381948171844526
1781249520000,0.0019253701999634473
1781249535000,0.0026561409461031385
1781249550000,0.0024416136831736314
1781249565000,0.002198269805905137
1781249580000,0.0024026645135244275
