timestamp,cpu_adservice_5f85fdddc7_fj6t4,cpu_cartservice_6b8f87965b_qpqs6,cpu_cartservice_6b8f87965b_rsd9v,cpu_checkoutservice_5b59b6549c_tzm6v,cpu_currencyservice_858c775d59_zfwwk,cpu_emailservice_57459bdb89_qfw9k,cpu_frontend_674478c45b_js9jw,cpu_loadgenerator_7db767bc4d_vxqp8,cpu_paymentservice_5cddfb6b65_bqhnk,cpu_productcatalogservice_769479847c_9vqxl,cpu_recommendationservice_854ff64cf7_j8p46,cpu_redis_cart_bf5c68f69_lgndh,cpu_shippingservice_759b59d959_7rv4q,anomaly_score,threshold,prediction,label
2026-06-12 15:04:45+08:00,0.0001045340707178,0.0,0.0140013128566796,0.00018782344918,0.0006695555175766,0.0009490980638728,0.0001923989114458,0.0,0.000503757307252,0.0001974247079896,0.0017339624010518,0.0015896401737756,0.0001876666666666,0.008050208501056623,61.57766840911885,0,0
2026-06-12 15:05:00+08:00,0.0053233325463171,0.0,0.0117009640471979,0.0003415426515054,0.0007747749999999,0.0020770315276189,0.0002007968308754,0.0,0.000890325,0.0002203290059829,0.0025167047592241,0.0017508999999999,0.0002817530986261,0.0059034047786167216,61.57766840911885,0,0
2026-06-12 15:05:15+08:00,0.0055200797619992,0.0,0.0117450066252333,0.0002968375708019,0.0009830239538129,0.0019922578799806,0.0001970349557276,0.0,0.0008628402176262,0.0002048936804968,0.0025490118165837,0.0019082291452565,0.0002510667571596,0.00533066899633247,61.57766840911885,0,0
2026-06-12 15:05:30+08:00,0.0071320821079074,0.0,0.0051649488917695,0.0004239151032783,0.0008258213052333,0.0019951053783254,0.0001598540010056,0.0,0.0008534843103008,7.20879926814e-05,0.0023483036763811,0.0022289782614023,0.0003744115590771,0.00354901192188566,61.57766840911885,0,0
2026-06-12 15:05:45+08:00,0.0020242005615325,0.0,0.0072043701799485,0.0003715965534718,0.0003341817488349,0.0018163705975213,0.0001640809266733,0.0,0.0005458632233381,0.0003240361938682,0.0016967131803452,0.0015351719195189,0.0005642583398658,0.007585019629998641,61.57766840911885,0,0
2026-06-12 15:06:00+08:00,0.0007716764073054,0.0,0.0050762076693227,0.0002984355991258,0.0005183161441613,0.00167335,0.0001707021791767,0.0,0.0008722661396574,0.0001811873051478,0.0014659133131192,0.0017659,0.0005704309548394,0.0039015958196274747,61.57766840911885,0,0
2026-06-12 15:06:15+08:00,0.0011928806936133,0.0,0.0076298794195789,0.0003463624537176,0.0012595731667358,0.0024088870413722,0.0001665569733126,0.0,0.0008673974304923,0.0002221972570274,0.001916187363372,0.0022630029871727,0.0004831727805857,0.0037962211790805154,61.57766840911885,0,0
2026-06-12 15:06:30+08:00,0.0010782518912693,0.0,0.0053359454855195,0.000258252940937,0.0013029251965637,0.0022172111272759,0.0001346098690655,0.0,0.000740096359743,0.0002933199397287,0.0017312869759067,0.0018803323145796,0.0003565897613625,0.0032499937465985083,61.57766840911885,0,0
2026-06-12 15:06:45+08:00,0.0007447921861818,0.0,0.0042608574351343,0.0002278763732946,0.0012243537824265,0.0015830042680277,0.0001476643506146,0.0,0.0006007525832719,0.0002768972266971,0.0016926467023644,0.0014390638043186,0.0002755482950588,0.0028037868408367726,61.57766840911885,0,0
2026-06-12 15:07:00+08:00,0.0018276831196205,0.0,0.0031681367144432,0.0002981796763245,0.0006007976359224,0.0022438258382335,0.000175651547232,0.0,0.0006674112734864,0.0003618180856129,0.001766079304821,0.0019222449686907,0.000301477364761,0.003994657071784922,61.57766840911885,0,0
2026-06-12 15:07:15+08:00,0.0020305635747458,0.0,0.0060280045738129,0.0002293555816559,0.0007623226714268,0.0026749061259521,0.000260356117663,0.0,0.0006000849888452,0.0002845783690589,0.0027232707172586,0.0021670126405298,0.0005420028105969,0.00308094935626025,61.57766840911885,0,0
2026-06-12 15:07:30+08:00,0.001042975,0.0,0.0062569409476447,0.000166175,0.0006980620140342,0.0019459112825436,0.0002337011725439,0.0,0.0005621891389271,0.000151275,0.0031171347370351,0.0017400996453446,0.0005328419208874,0.005275773407464517,61.57766840911885,0,0
2026-06-12 15:07:45+08:00,0.001234909200626,0.0,0.0057799153439153,6.72062277273e-05,0.0006463273311897,0.0022785952652914,0.0002528650067584,0.0,0.0002458010728901,0.00020166734738,0.0025627392692233,0.0016474018661518,0.0005328419208874,0.004277781185230657,61.57766840911885,0,0
